id,geography,region,sector,use_case,implementing_partner,role,stage,new_product,population_impact,year_initiated,details
IN-01,All Cantonments,National,Local Governance,Local Governance (eChhawani),Bharat Electronics Ltd.,govt_body,Live,Yes,2516586,2020,"The eChhawani platform, built on DIGIT, enables citizens in cantonment boards to access services provided by the cantonment. Built for the Director General of Defence Estates under the Ministry of Defence."
IN-02,Andhra Pradesh,South,Local Governance,Local Governance,eGov,egov_direct,Live,No,33213851,2015,"Property Tax, Trade Licences, Water and Sanitation, Public Grievance Redressal, state-level dashboards, ULB portals, Finance & HR Management systems for municipal employees. Integrations with 18 other existing applications."
IN-03,Assam,North East,Local Governance,Finance & Accounting (Municipal),Sumato,commercial_partner,Live,No,,2023,Finance & Accounting rolled out in 2 ULBs — Dhubri and Barpeta.
IN-04,Assam,North East,Health,PGR for Health (DIGIT+),Piramal Foundation,development_sector,Live,Yes,,2023,Complaint management system built on DIGIT for the state-level health ministries to manage all health centres.
IN-05,Assam,North East,Water & Sanitation,NalJalseva,NIC,govt_body,Live,No,32866165,2024,"The NalJalseva platform, built to support the Jal Jeevan Mission, ensures long-term sustainability of water supply systems through O&M and community engagement."
IN-06,Assam,North East,Works Management,Public Works Management,Deloitte,commercial_partner,Live,Yes,36728963,2023,"The centralised, automated works management system developed on DIGIT brings better visibility and monitoring across schemes, enabling better planning and execution through procurement and project management."
IN-07,Bihar,East,Water & Sanitation,Water Infrastructure Maintenance (PeyJal),Arghyam,development_sector,Live,Yes,,2023,"Arghyam has implemented a version of mGramSeva, called PeyJal, in Bihar, facilitating O&M of water infrastructure to help rural local bodies sustainably manage water systems."
IN-08,Bihar,East,Health,PGR for Health (DIGIT+),Piramal Foundation,development_sector,Live,Yes,,2023,"Complaint management system built on DIGIT for state-level health ministries to manage all health centres across ~9,000 health facilities."
IN-09,Bihar,East,Livelihoods & Benefits,Digital Farmer Services Platform,MSC,development_sector,Live,Yes,330000,2023,"MicroSave Consulting (with BMGF support) is building a Digital Farmer Services platform using DIGIT as the foundational DPG, providing small-scale farmers unified access to government schemes, agriculture advisory, credit, insurance, and market linkages."
IN-10,Bihar,East,Livelihoods & Benefits,Proactive Benefits Delivery (DIGIT+),Piramal Foundation,development_sector,Design,Yes,,2024,Scholarship delivery via DIGIT. April 2025 status: Tekdi leading technical development. Pilot done in Rajasthan; first full deployment most likely in Bihar.
IN-11,Bihar,East,Local Governance,Local Governance,,pipeline,Design,No,,2024,"UPYOG RfP stage — modules include OBPAS, Trade Licences, Property Tax, Water & Sanitation, Finance & Accounting, Public Grievance Redressal, and Miscellaneous Collections."
IN-12,Central Govt.,National,Emergency Response,Emergency Response,Deloitte,commercial_partner,Live,Yes,,2024,Deloitte developed a solution built on DIGIT to enable the Ministry of External Affairs to evacuate Indian citizens from different countries in times of emergency.
IN-13,Central Govt.,National,Local Governance,Grievance Redressal,Accenture,commercial_partner,Live,No,,2025,"National grievance redressal platform built on DIGIT, implemented by Accenture for Central Government."
IN-14,Chandigarh,North,Local Governance,Local Governance,PwC,commercial_partner,Live,Yes,1429790,2019,"PwC runs an urban governance system built on DIGIT for Chandigarh — property tax, trade licences, and ~10 custom applications including monitoring of urban services, horticulture requests, and a pension management solution for former municipal employees."
IN-15,Chhattisgarh,Central,Local Governance,Building Permits,Entit Technologies,commercial_partner,Live,No,109177,2023,OBPAS (Online Building Plan Approval Software) implemented in 3 urban local bodies in Chhattisgarh.
IN-16,Covid e-pass,National,Industrials,Pass Management System (COVID),eGov,egov_direct,Live,Yes,900000,2020,"To ensure essential services could operate during the COVID-19 lockdown, DIGIT was leveraged to build an easy-to-use pass management system in just 3 days."
IN-17,DIVOC (India Only),National,Health,Vaccine Certification (DIVOC),eGov,egov_direct,Live,Yes,,2021,"eGov built DIVOC — an open-source, interoperable Digital Public Good — to help countries digitally orchestrate large-scale vaccination programmes and issue trusted vaccination certificates."
IN-18,Goa,West,Industrials,Industrial Estate Management,Deloitte,commercial_partner,Live,Yes,1500000,2023,"8 custom modules built on DIGIT to improve ease-of-doing-business for the Goa Industrial Development Corporation (GIDC), also made available for other IDCs to adopt."
IN-19,Goa,West,Local Governance,Finance & Accounting (Municipal),,pipeline,Design,No,,2024,UPYOG implementation initiated — Finance & Accounting module.
IN-20,Gujarat,West,Local Governance,Local Governance,,pipeline,Design,No,,2024,UPYOG implementation initiated — all urban suite modules.
IN-21,Haryana,North,Local Governance,Finance & Accounting (Municipal),,pipeline,Design,No,,2024,UPYOG implementation initiated — Finance & Accounting. RfP and evaluation stage.
IN-22,Himachal Pradesh,North,Local Governance,Local Governance (OBPAS),Deloitte,commercial_partner,Live,No,,2025,OBPAS module live on UPYOG.
IN-23,Himachal Pradesh,North,Local Governance,Finance & Accounting (Municipal),Deloitte,commercial_partner,Design,No,,2023,"Deloitte won an RFP to deploy UPYOG for Finance & Accounting solutions built on DIGIT, to be extended to other modules."
IN-24,Jammu & Kashmir,Other,Local Governance,Finance & Accounting (Municipal),,pipeline,Design,No,,2024,UPYOG RfP stage — Finance & Accounting and OBPAS modules.
IN-25,Jharkhand,East,Education,DIGIT in Education Sector,Deloitte,commercial_partner,Live,No,11259840,2024,"Education portal of 9 custom applications for the Ministry of Education, Jharkhand: mid-day meal monitoring, leave management, library management, teacher and student activity tracking."
IN-26,Karnataka,South,Clean Energy,Energy for Health (DIGIT+),SELCO Foundation,development_sector,Live,Yes,,2023,eGov is scaling SELCO Foundation's Energy for Health programme through Saur-e-mitra — a DIGIT platform to improve O&M of solar equipment in health centres. Currently live in over 250 PHCs in Raichur.
IN-27,Karnataka,South,Local Governance,Local Governance,eGov,egov_direct,Live,No,27807757,2004,Finance and Property Tax modules. May 2025 update: Existing services are being migrated to UPYOG.
IN-28,Karnataka,South,Water & Sanitation,Solid Waste Management (DIGIT+),"CSG, GoK",govt_body,Design,Yes,,2024,"Solid Waste Management system built on DIGIT for rural local bodies. Centre for Smart Governance (Karnataka's state IT agency) to implement for the Rural and Panchayati Raj Dept., Government of Karnataka."
IN-29,Karnataka,South,Industrials,Transport,,pipeline,Design,No,,,KSRTC transport use case under exploration. Status to be confirmed.
IN-30,Kerala,South,Local Governance,Local Governance,IKM Kerala,commercial_partner,Live,Yes,18755408,2023,"Property Tax, Civil Registration (Marriage, Birth & Death), Trade Licences, Building Permits, Grievance Redressal, and for municipal employees — Finance, File Management, HR Management — implemented in all 94 ULBs and villages in Kerala."
IN-31,Kerala,South,Local Governance,Building Permits,eGov,egov_direct,Live,No,1060990,2017,"Online building permits system built on DIGIT, live in 2 urban local bodies in Kozhikode."
IN-32,Kerala,South,Legal,Court Case Management (DIGIT+),PUCAR,development_sector,Live,Yes,2181940,2024,"PUCAR developed DRISTI — a court case management platform built on DIGIT. Piloted in 1 court in Kollam district, with plans to scale to other courts in Kerala."
IN-33,Ladakh,North,Local Governance,Local Governance,,pipeline,Design,No,,2024,UPYOG RfP stage — all services excluding Birth & Death module.
IN-34,Madhya Pradesh,Central,Local Governance,Local Governance,,pipeline,Design,No,,2024,UPYOG implementation initiated — all modules being migrated to open-source software.
IN-35,Maharashtra,West,Local Governance,Local Governance,,pipeline,Design,No,,2024,"UPYOG implementation initiated — state-specific modules being developed, initially for BrihanMumbai Municipal Corporation (BMC)."
IN-36,Manipur,North East,Local Governance,Local Governance,Deloitte,commercial_partner,Live,No,3361270,2024,DIGIT's property tax solution to be rolled out in 26 ULBs and extended to all ULBs. Finance & Accounting and Water & Sewerage solutions also being implemented.
IN-37,New Delhi,National,Local Governance,Local Governance,eGov,egov_direct,Live,No,12956222,2009,RfP stage for UPYOG migration — Finance and Property Tax modules in NDMC and Municipal Corporation of Delhi (MCD).
IN-38,NUDM,National,Local Governance,Urban Governance (UPYOG),eGov,egov_direct,Live,No,,2021,"National Urban Digital Mission (NUDM) launched by MoHUA and MEITY in 2021, with DIGIT as the technical foundation for UPYOG. eGov contributed platform architecture, programme design, and 20,000+ hours of training. UPYOG is now fully owned and operated by MoHUA/NIUA and certified as a Digital Public Good."
IN-39,Odisha,East,Water & Sanitation,Faecal Sludge & Septage Management,PwC,commercial_partner,Live,Yes,7901187,2021,"SUJOG-FSSM: Faecal Sludge and Sanitation Management Platform built on DIGIT, handed over to PwC for implementation."
IN-40,Odisha,East,Livelihoods & Benefits,Works Management & Benefits Delivery,PwC,commercial_partner,Live,Yes,2500,2023,"MUKTAsoft — a works management and direct benefit transfer platform for Odisha's MUKTA urban employment scheme. Note: As of 2025, the MUKTA scheme has been halted by the current Odisha government."
IN-41,Odisha,East,Local Governance,Local Governance,PwC,commercial_partner,Live,Yes,7250619,2021,SUJOG (Sustainable Services in a Jiffy by Odisha Govt) is an urban service delivery platform leveraging DIGIT's urban governance suite across 114 ULBs.
IN-42,Odisha,East,Livelihoods & Benefits,Direct Benefits Delivery,Deloitte,commercial_partner,Design,Yes,,2024,"Supporting the implementation of Mission Shakti, which seeks to strengthen interventions for women's safety and empowerment through direct benefits delivery built on DIGIT."
IN-43,Puducherry,South,Local Governance,Building Permits,eGov,egov_direct,Live,Yes,1003690,2022,OBPAS automates the plan approval process and auto-scrutinises building plans against Development Control Regulations. eDCR functionality integrated with the existing building plan approval software in Puducherry.
IN-44,Punjab,North,Local Governance,Local Governance,eGov,egov_direct,Live,Yes,12239795,2018,"Property Tax, Trade Licences, Water and Sewerage, Public Grievance Redressal, Fire NOC, Miscellaneous Collections — with state-level dashboards and ULB portals."
IN-45,Punjab,North,Water & Sanitation,Water Infrastructure Maintenance,eGov,egov_direct,Live,Yes,550000,2021,"mGramSeva implemented in Punjab to help rural local bodies self-sufficiently manage water infrastructure. Live in 3,780 villages with 5.5 lakh consumers onboarded."
IN-46,Punjab,North,Local Governance,Local Governance (OBPAS),KPMG,commercial_partner,Design,Yes,,2024,OBPAS module with Self-Certification feature under development.
IN-47,Punjab,North,Livelihoods & Benefits,Benefits Delivery,eGov,egov_direct,Design,No,,2024,"SDIP (State Data Integration Platform) will enable real-time data exchange between federated registries to improve service delivery — covering benefits distribution, revenue data triangulation, and real-time expenditure monitoring. Led by eGov, Punjab Development Commission, and Dept. of Governance Reforms under the World Bank's Building Fiscal and Institutional Resilience programme."
IN-48,Rajasthan,North,Local Governance,Finance & Accounting (Municipal),,pipeline,Design,No,,,UPYOG RfP stage — Finance & Accounting and Water & Sewerage modules.
IN-49,Tamil Nadu,South,Local Governance,Building Permits,Interlace Technologies,commercial_partner,Live,Yes,80653574,2022,"Scrutiny-based building plan approval with eDCR integration for all 14,000+ local bodies in Tamil Nadu."
IN-50,Tamil Nadu,South,Local Governance,Finance & Accounting (Municipal),,pipeline,Design,No,,,RfP stage for migration to UPYOG — Finance & Accounting module.
IN-51,Tamil Nadu,South,Local Governance,Local Governance,eGov,egov_direct,Live,No,5469204,2009,"Property Tax, Trade Licences, Water and Sanitation, Public Grievance Redressal, state-level dashboards — implemented for Greater Chennai Municipal Corporation."
IN-52,Telangana,South,Local Governance,Building Permits,,pipeline,Design,No,,,UPYOG implementation initiated — OBPAS module.
IN-53,Uttar Pradesh,North,Legal,Legal Case Management (Education),Piramal Foundation,development_sector,Design,Yes,,2024,Legal case management system built on DIGIT by Piramal Foundation for state-level education ministries. Likely to be implemented in Uttar Pradesh.
IN-54,Uttar Pradesh,North,Local Governance,Finance & Accounting (Municipal),,pipeline,Design,No,,,UPYOG implementation initiated — Finance & Accounting module.
IN-55,Uttar Pradesh,North,Water & Sanitation,Faecal Sludge & Septage Management,,pipeline,Design,No,,2025,UPYOG implementation initiated — Faecal Sludge Management (FSM) module.
IN-56,Uttarakhand,North,Local Governance,Local Governance,eGov,egov_direct,Live,No,3589071,2020,"Property Tax, Trade Licences, Miscellaneous Collections — with state-level dashboards across Uttarakhand."
IN-57,West Bengal,East,Local Governance,Local Governance,PwC,commercial_partner,Live,No,5292609,2022,DIGIT's urban service delivery solutions implemented by PwC for the Kolkata Municipal Corporation — 13 modules in active use.
IN-58,West Bengal,East,Local Governance,Local Governance,TCG Digital,commercial_partner,Design,No,,2024,"DIGIT's urban governance solutions to be implemented starting with Public Grievance Redressal, statewide except Kolkata. April 2025: project is stalled with no current movement."
IN-59,West Bengal,East,Industrials,Inland Water Transport Management,Deloitte,commercial_partner,Design,Yes,,2024,"Inland water transport management system under development: vessel asset management, contract management, insurance management, and integration with the existing billing system."
GL-01,Mozambique (Gaza Province),Africa,Health,Bednet Distribution Campaign,Global Health Partner,international,Live,No,1586866,2023,"Bednet distribution campaign management using DIGIT HCM across Gaza Province, Mozambique."
GL-02,Mozambique (Tete Province),Africa,Health,Bednet Distribution Campaign,Global Health Partner,international,Live,No,3117551,2023,"Bednet distribution campaign management using DIGIT HCM across Tete Province, Mozambique."
GL-03,Mozambique (Nampula Province),Africa,Health,Seasonal Malaria Chemoprevention (SMC),Global Health Partner,international,Live,No,1482649,2024,"Seasonal Malaria Chemoprevention (SMC) campaign management using DIGIT HCM in Nampula Province, Mozambique."
GL-04,Mozambique,Africa,Health,Indoor Residual Spraying (IRS),Global Health Partner,international,Live,No,276603,2024,Indoor Residual Spraying (IRS) malaria campaign management using DIGIT HCM.
GL-05,Liberia,Africa,Health,Bednet Distribution Campaign,Global Health Partner,international,Live,No,5498281,2024,"Nationwide bednet distribution campaign management using DIGIT HCM, Liberia."
GL-06,Senegal,Africa,Health,Seasonal Malaria Chemoprevention (SMC),Global Health Partner,international,Live,No,81702,2024,"Seasonal Malaria Chemoprevention (SMC) campaign management using DIGIT HCM, Senegal."
GL-07,Nigeria (Kano State),Africa,Health,NTD Lymphatic Filariasis Campaign,Global Health Partner,international,Live,No,129002,2024,"NTD Lymphatic Filariasis campaign management using DIGIT HCM in Kano State, Nigeria."
GL-08,Nigeria (Kebbi State),Africa,Health,Seasonal Malaria Chemoprevention (SMC),Global Health Partner,international,Live,No,1255514,2024,"Seasonal Malaria Chemoprevention (SMC) campaign management using DIGIT HCM in Kebbi State, Nigeria."
GL-09,Burundi,Africa,Health,Bednet Distribution Campaign,Global Health Partner,international,Live,No,,2024,"Bednet distribution campaign management using DIGIT HCM, Burundi."
GL-10,Trinidad & Tobago,Caribbean,Multi-sectoral,Land Deed Management,TBD,pipeline,Design,No,,,Land deed management system under development — DIGIT deployment in Trinidad & Tobago.
GL-11,Djibouti,East Africa & Middle East,Multi-sectoral,Construction Permits,TBD,pipeline,Design,No,,,Construction permits system under deployment — DIGIT implementation in Djibouti.
GL-12,Ethiopia,East Africa & Middle East,Health,Health Resource Tracking,TBD,pipeline,Design,No,14576765,,Health resource tracking system under deployment in Ethiopia.
GL-13,Ethiopia,East Africa & Middle East,Multi-sectoral,Public Grievance Redressal,TBD,pipeline,Design,No,,,Public Grievance Redressal system under deployment in Ethiopia.
GL-14,São Tomé and Príncipe,Africa,Multi-sectoral,Trade Licences,TBD,pipeline,Design,No,,,Trade licences system — DIGIT deployment signed up in São Tomé and Príncipe.
